RegionName,RegionType,StateName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
United States,Country,,241158,242103,242915,243616,244265,244868,245422,245984,246619,247336,248074,248905
"New York, NY",Msa,NY,476721,477597,478493,479494,480179,480376,480345,480072,479608,479071,478777,479314
"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,668258,666101,664753,664321,665292,666314,665375,666103,668826,673144,675164,676981
"Chicago, IL",Msa,IL,240353,241096,241561,242069,242128,242055,242015,241946,241943,241835,241842,242056
"Dallas-Fort Worth, TX",Msa,TX,253033,254173,254817,254861,254984,254987,255061,255761,256925,257487,257739,257634
"Philadelphia, PA",Msa,PA,243894,244643,245504,246159,246789,247015,247447,247896,248369,248783,249288,250165
"Houston, TX",Msa,TX,216792,217633,218123,218147,218244,218672,219145,219588,219893,220622,221351,222000
"Washington, DC",Msa,DC,427306,429258,430543,431323,431620,431875,431795,432663,433960,435947,437744,439170
"Miami-Fort Lauderdale, FL",Msa,FL,299185,299365,299912,300321,300605,301131,301441,301562,301491,302079,302840,303268
"Atlanta, GA",Msa,GA,234624,235722,236879,238119,239132,239536,240027,240738,241717,242517,243282,244373
"Boston, MA",Msa,MA,487988,488850,488486,487645,487076,487537,487673,488394,489767,491180,492452,493952
"San Francisco, CA",Msa,CA,1130369,1126380,1124987,1124476,1123900,1123338,1122781,1120176,1119917,1118442,1118711,1122476
"Detroit, MI",Msa,MI,173414,174460,175092,175674,176512,177306,177822,177833,177958,178076,178387,178732
"Riverside, CA",Msa,CA,374341,375483,377206,378184,378969,379355,379655,380225,380400,381938,382739,384994
"Phoenix, AZ",Msa,AZ,266810,268098,269471,270337,271133,271920,273036,274908,276524,278195,279779,281818
"Seattle, WA",Msa,WA,518589,517984,517454,515435,514352,512860,512692,513577,514749,516193,519685,525452
"Minneapolis-St Paul, MN",Msa,MN,286027,287415,287887,288315,288724,289455,289897,290192,290982,292094,293502,295156
"San Diego, CA",Msa,CA,590607,588246,587883,590935,592574,594459,596744,598744,599318,599881,601915,604447
"St. Louis, MO",Msa,MO,177866,179120,180017,180335,180477,180556,180681,180739,180965,181353,181799,182643
"Tampa, FL",Msa,FL,219676,220404,220758,221107,221758,222146,222758,223247,223748,224268,225292,226328
"Baltimore, MD",Msa,MD,294661,295235,295747,296084,296281,296336,296535,296381,296159,295779,295927,296535
"Denver, CO",Msa,CO,440120,441283,442349,443223,442743,442567,442178,442483,442911,443670,444621,446514
"Pittsburgh, PA",Msa,PA,156143,157076,157691,157962,158575,159297,159933,160142,160242,160722,161515,162458
"Portland, OR",Msa,OR,416702,417994,418088,417807,417136,416446,415442,415149,415494,417342,419425,421401
"Charlotte, NC",Msa,NC,232293,233214,233925,234508,235291,236061,236702,237519,238584,240261,242044,243781
"Sacramento, CA",Msa,CA,417152,417695,417945,419567,421699,423110,423197,423061,424039,425128,427616,430222
"San Antonio, TX",Msa,TX,227748,229381,230127,230995,231548,232203,232857,233536,234701,235421,236184,236059
"Orlando, FL",Msa,FL,248791,250369,251415,251677,252195,252742,253302,253508,254020,254460,255498,256361
"Cincinnati, OH",Msa,OH,180257,181774,183135,183755,183991,184278,184820,185448,186378,186984,187513,187966
"Cleveland, OH",Msa,OH,151888,152432,153093,153437,154332,154766,155529,155963,156367,156611,156766,157403
"Kansas City, MO",Msa,MO,201490,202615,203221,203740,203884,204121,204510,205040,205658,206325,206890,207590
"Las Vegas, NV",Msa,NV,287740,289569,289952,291139,291609,291561,290101,288646,287420,287609,289019,290475
"Columbus, OH",Msa,OH,202922,204452,206013,207094,208249,209123,209702,210021,210722,211712,212486,213597
"Indianapolis, IN",Msa,IN,179365,180115,180454,180435,181138,181657,182290,182791,183917,185007,186098,186764
"San Jose, CA",Msa,CA,1300270,1279404,1264296,1258129,1251087,1239869,1228343,1219430,1223580,1223209,1226974,1229069
"Austin, TX",Msa,TX,328675,331510,333208,334118,334455,335130,335793,336666,338259,338243,338443,338663
"Virginia Beach, VA",Msa,VA,240223,240992,241925,242672,242994,243295,243680,244152,244813,245552,246083,246438
"Nashville, TN",Msa,TN,278304,279351,280473,281100,281799,282600,283404,283894,284357,285178,286270,287302
"Providence, RI",Msa,RI,311693,311669,312720,314061,315294,315684,316178,316388,316851,317356,319049,320231
"Milwaukee, WI",Msa,WI,193607,195182,196732,198389,198693,198441,198548,198840,199204,199824,200375,201780
"Jacksonville, FL",Msa,FL,225269,226060,226908,227962,228593,229485,230032,230680,231138,232076,232304,232794
"Memphis, TN",Msa,TN,149443,150604,151707,152536,153417,153993,154435,154931,155541,156363,157402,158688
"Oklahoma City, OK",Msa,OK,153681,154262,154461,154675,154842,155515,156351,157207,157944,158770,159602,160213
"Louisville-Jefferson County, KY",Msa,KY,173692,174394,175078,175884,176866,177691,178219,178733,179450,180296,181093,182132
"Hartford, CT",Msa,CT,237805,238122,238274,238555,238344,238541,238413,238510,238555,238886,239341,239637
"Richmond, VA",Msa,VA,242418,243467,244251,244949,245516,246304,247238,248326,249223,250160,250446,251081
"New Orleans, LA",Msa,LA,199919,199924,201099,201983,203027,203434,203688,203798,204269,204621,204945,206526
"Buffalo, NY",Msa,NY,166516,167438,169093,169976,171179,171852,172417,172684,172965,173317,174099,174921
"Raleigh, NC",Msa,NC,277886,279666,280863,281559,281570,282026,282618,282985,283523,284568,286031,287060
"Birmingham, AL",Msa,AL,165472,166135,166765,167200,167686,168609,169889,170951,171536,172204,173061,174260
"Salt Lake City, UT",Msa,UT,370272,374227,376693,377072,377027,377616,378836,380945,383059,384044,384521,385214
"Rochester, NY",Msa,NY,151788,152814,153657,154472,155072,155788,156123,156642,157104,157577,157938,158158
"Grand Rapids, MI",Msa,MI,210398,211422,212445,213848,215485,216425,216848,216425,216712,217435,219582,221297
"Tucson, AZ",Msa,AZ,207963,209057,210017,210928,211627,212922,214057,215196,216337,217146,218712,221131
"Urban Honolulu, HI",Msa,HI,723358,725597,727575,726888,725348,725105,725839,725457,723204,721331,718143,714908
"Tulsa, OK",Msa,OK,146233,146579,147060,147244,147317,147499,147793,148148,148546,149219,149958,150473
"Fresno, CA",Msa,CA,264013,264863,266431,267056,266739,266758,267968,269617,270176,270924,271220,271735
"Worcester, MA",Msa,MA,289551,289278,288789,289684,291423,293133,293751,294374,294470,295677,296683,298180
"Stamford, CT",Msa,CT,427987,427563,426653,427587,428352,426119,423667,421846,421943,423959,424699,425099
"Albuquerque, NM",Msa,NM,201904,202747,203431,204297,205279,206324,207397,208511,209691,210375,211339,212604
"Albany, NY",Msa,NY,200795,201768,202743,203355,203664,203630,203568,203114,203077,202978,203750,204778
"Omaha, NE",Msa,NE,196849,197273,197552,197780,198179,198795,199863,201185,202408,203446,204605,205777
"New Haven, CT",Msa,CT,231171,231736,231961,232758,233348,233524,233848,233799,233800,233092,233239,233097
"Bakersfield, CA",Msa,CA,224163,225616,226612,226738,227424,228542,229353,230248,230665,231155,231882,232391
"Knoxville, TN",Msa,TN,185720,187216,188322,189585,190488,191435,191727,192350,193241,194358,195494,196445
"Greenville, SC",Msa,SC,201978,202739,203160,204058,204902,205662,206447,207266,208035,208756,209403,210195
"Ventura, CA",Msa,CA,615501,615275,615430,616805,617520,616086,614317,614279,616249,618924,619629,622714
"Allentown, PA",Msa,PA,208986,209441,209977,210023,210635,211116,211556,211612,211819,212150,212839,213128
"El Paso, TX",Msa,TX,132611,133319,134241,135316,136445,137555,138296,138794,137953,136903,136229,136794
"Baton Rouge, LA",Msa,LA,190664,190971,190423,189809,189297,189220,189374,189277,188954,188511,188382,188882
"Dayton, OH",Msa,OH,128695,129214,129555,130328,131337,132576,133422,133928,134199,134925,135675,136473
"McAllen, TX",Msa,TX,114894,115370,115726,116329,117032,117654,118456,118864,119380,119161,119308,119736
"Columbia, SC",Msa,SC,157493,157937,158159,158448,159011,159683,160278,160792,161263,161892,162526,163117
"Greensboro, NC",Msa,NC,146655,147501,148400,149467,150481,151366,152025,152608,153410,154088,154863,155372
"Akron, OH",Msa,OH,146792,147622,148441,148992,149504,150683,151537,152024,152225,152352,152528,152854
"North Port-Sarasota-Bradenton, FL",Msa,FL,278021,279044,279468,279263,278765,279032,280088,280326,280423,279973,280542,281216
"Little Rock, AR",Msa,AR,149770,150136,150072,150114,150052,150209,150240,150516,150783,151301,151643,151996
"Stockton, CA",Msa,CA,371509,370781,373071,373648,375076,375568,375968,376334,375972,375966,376298,378222
"Charleston, SC",Msa,SC,274464,275298,276235,277139,277749,278084,278322,278531,278859,279080,279491,279978
"Syracuse, NY",Msa,NY,140630,140666,140474,140958,141702,142562,143234,143633,144223,144809,145510,145860
"Colorado Springs, CO",Msa,CO,306750,308335,309045,309299,309345,310046,311552,314006,317014,319485,321217,322551
"Winston-Salem, NC",Msa,NC,151319,152139,153068,154258,155201,156076,156852,157571,158155,158703,159476,160387
"Wichita, KS",Msa,KS,138416,138685,138936,139530,140339,141328,142073,142505,142840,143187,143562,143819
"Springfield, MA",Msa,MA,228916,228836,228894,230079,231813,232849,233511,233467,234191,234831,235524,236171
"Fort Myers, FL",Msa,FL,241582,241316,240319,241070,240709,240920,241658,242621,243083,242394,241960,241234
"Boise City, ID",Msa,ID,289586,292183,294883,296315,297302,297821,299313,301976,305170,308698,311657,314620
"Toledo, OH",Msa,OH,118181,118645,118902,119018,119601,120304,121616,122462,123297,123620,124036,124542
"Madison, WI",Msa,WI,276079,278153,279359,280212,280197,280398,280509,281183,281800,283318,284117,285623
"Lakeland, FL",Msa,FL,186205,187229,187885,187901,188865,189550,190440,190619,190229,190104,191021,192754
"Ogden, UT",Msa,UT,311450,313667,316573,318170,319086,319644,320591,321658,322829,324096,326208,328218
"Daytona Beach, FL",Msa,FL,212235,213020,214392,215648,217101,217950,218906,219997,220963,221811,222740,223488
"Des Moines, IA",Msa,IA,203287,204501,205380,205747,205605,206092,206472,207156,207251,207461,207636,208070
"Jackson, MS",Msa,MS,136959,137493,137905,138652,138846,139281,139525,139966,140101,140650,140805,141205
"Youngstown, OH",Msa,OH,96021,96758,97648,97991,97726,97540,97349,97497,98042,98915,99853,100087
"Augusta, GA",Msa,GA,152603,152967,153542,154136,154541,154751,155025,155347,155643,156026,156313,156749
"Scranton, PA",Msa,PA,115686,116101,116694,117302,117706,117958,118401,119106,119671,120137,120482,120908
"Harrisburg, PA",Msa,PA,188547,189064,189481,189769,189946,190361,190818,191256,191887,192403,192921,193225
"Melbourne, FL",Msa,FL,221106,223442,223923,223931,222658,222884,223345,223549,222992,223155,224052,225562
"Chattanooga, TN",Msa,TN,172048,173327,174753,175640,176515,177011,177581,178274,178999,179754,180032,180335
"Spokane, WA",Msa,WA,255480,258136,260574,262728,265165,267523,268628,269042,269893,271538,272811,274812
"Provo, UT",Msa,UT,358803,359767,361176,362398,363132,364484,365847,367665,368829,369548,370223,370621
"Lancaster, PA",Msa,PA,231430,231840,231038,230465,230386,231208,232108,233026,233533,234080,234243,234408
"Modesto, CA",Msa,CA,320208,320836,320511,323154,324296,325673,324501,325029,325203,327699,328877,330814
"Portland, ME",Msa,ME,306754,306489,306434,308078,309514,311032,312400,313670,315408,317588,319910,321160
"Durham, NC",Msa,NC,265092,266380,267378,268494,269610,270545,271110,272014,273092,274504,275286,276100
"Santa Rosa, CA",Msa,CA,658887,652877,648842,645697,647119,650669,652690,652757,651196,651167,647618,645760
"Lexington, KY",Msa,KY,188983,190410,191209,191778,192373,193002,193567,194189,194662,195315,195954,196820
"Lafayette, LA",Msa,LA,156594,156720,156711,157128,157598,158122,158567,159200,159784,160105,159855,159609
"Lansing, MI",Msa,MI,159497,160339,161324,162226,162933,163303,163245,163310,163920,165082,165974,166544
"Fayetteville, AR",Msa,AR,191314,191677,192166,192963,193908,194629,195607,196682,197550,198135,198621,199581
"Pensacola, FL",Msa,FL,183192,183797,183671,183590,184132,184986,186009,186811,187572,188382,189071,189850
"Visalia, CA",Msa,CA,225055,224780,224398,225054,226323,227092,226175,225865,226397,228441,228454,228619
"Shreveport, LA",Msa,LA,117537,116629,115738,115201,115097,114691,114339,114076,113772,113750,113963,114633
"Springfield, MO",Msa,MO,152390,153129,153984,154623,155484,156273,157260,157885,158633,159258,160355,161001
"York, PA",Msa,PA,188002,188568,189144,189641,189938,190077,191050,192266,193117,193887,194519,195718
"Corpus Christi, TX",Msa,TX,162856,162820,163184,163458,163839,163668,163676,164226,165215,166335,166956,167944
"Flint, MI",Msa,MI,118687,119495,120596,121963,123293,124450,125684,126009,126443,126499,127581,128132
"Reno, NV",Msa,NV,380763,383573,385773,386062,385977,385493,384084,381887,381481,382885,384684,385961
"Asheville, NC",Msa,NC,268346,269208,270227,271038,271338,271708,272264,273106,274506,275396,276497,276885
"Port St. Lucie, FL",Msa,FL,234029,235108,235679,237014,237830,238341,238389,238505,238812,239162,239603,240482
"Santa Maria-Santa Barbara, CA",Msa,CA,646704,647873,644871,643045,641503,643133,641830,642093,641055,644515,646688,650992
"Huntsville, AL",Msa,AL,183858,184192,184597,185382,186185,187146,187794,188576,189543,190563,191894,193814
"Fort Wayne, IN",Msa,IN,142902,143773,145030,146124,147118,147618,148372,149120,150040,150820,151605,152300
"Salinas, CA",Msa,CA,596499,600120,601998,602530,600925,600887,598700,598407,597177,598809,600019,601730
"Vallejo, CA",Msa,CA,448487,446761,446901,449321,451045,451579,453047,454383,455861,456950,455986,453750
"Mobile, AL",Msa,AL,124017,124383,124790,124939,125054,125458,125975,126573,127091,127889,128677,129584
"Reading, PA",Msa,PA,184302,184950,185409,185429,185552,186149,186594,187078,187519,188463,189651,191112
"Brownsville, TX",Msa,TX,104189,105336,106222,106374,106282,106594,106967,107652,107734,107760,107357,107917
"Killeen, TX",Msa,TX,153940,154285,154692,155318,156042,156910,157789,158320,158905,159672,160634,161687
"Canton, OH",Msa,OH,129771,130644,131395,131822,132321,132892,133692,134214,134840,135474,136340,137103
"Beaumont, TX",Msa,TX,128078,128337,128704,129182,129687,130133,130636,131239,131878,131691,131228,130725
"Manchester, NH",Msa,NH,295750,297148,297933,298556,299471,300558,301638,302003,302503,303576,305305,306964
"Salem, OR",Msa,OR,307559,309582,310820,310854,310828,311497,312591,313381,313704,313306,313806,314931
"Anchorage, AK",Msa,AK,300849,,308031,,,318136,317041,318433,,332817,336029,328413
"Davenport, IL",Msa,IL,130354,130554,130588,130584,130768,131144,131485,131911,132501,133055,133507,133722
"Peoria, IL",Msa,IL,113871,113810,113623,113694,113703,113803,113775,113816,113766,113994,114150,114549
"Myrtle Beach, SC",Msa,SC,206820,207810,208193,208660,208471,208534,209100,209634,210183,210377,211014,211585
"Montgomery, AL",Msa,AL,134745,135190,135325,135520,135646,136207,136555,136953,137388,137710,137915,137952
"Salisbury, MD",Msa,DE,257063,257231,256868,256870,256903,257427,257684,258392,258994,259614,260026,260473
"Gulfport, MS",Msa,MS,136660,136714,136970,137684,138773,139683,140429,140696,141132,141330,141814,142141
"Tallahassee, FL",Msa,FL,179332,179584,179207,179484,179710,180502,180589,180637,180723,181418,182054,182684
"Trenton, NJ",Msa,NJ,251110,250962,253393,255520,258218,258811,258617,257476,256060,255797,256168,257571
"Fayetteville, NC",Msa,NC,129894,130379,130837,131603,131799,131894,131845,132139,132389,132613,133231,133953
"Hickory, NC",Msa,NC,149398,150131,150853,151644,152440,153218,153962,154815,155738,156657,157271,157736
"Huntington, WV",Msa,WV,101328,101716,102101,102542,102965,103386,103756,104158,104598,105037,105107,105130
"Eugene, OR",Msa,OR,301447,302838,304480,305699,306291,307555,308276,309844,310671,313290,315011,318105
"Rockford, IL",Msa,IL,118967,119334,120706,121811,123080,123547,123447,123571,123373,123560,123614,123359
"Savannah, GA",Msa,GA,198441,199210,200147,200906,201541,201846,202706,203198,204176,204659,205151,205468
"Ann Arbor, MI",Msa,MI,297107,299236,301096,301448,302064,302595,303223,303410,302062,300513,299532,299981
"Ocala, FL",Msa,FL,155934,157345,158597,159431,159988,160422,160936,161639,162365,163259,163713,164711
"Kalamazoo, MI",Msa,MI,169450,170219,171652,173260,174241,174415,174255,174546,175090,175594,176290,177297
"Naples, FL",Msa,FL,350064,348962,348681,349164,349451,347934,347506,347019,346160,345005,344845,346514
"South Bend, IN",Msa,IN,130608,131218,132262,132815,133639,134202,134777,135613,136001,136489,136566,136850
"Spartanburg, SC",Msa,SC,152615,153823,154633,155211,155693,156414,157055,157498,158061,158696,159585,160251
"Evansville, IN",Msa,IN,137706,138294,138977,139390,139801,140239,140663,141382,141954,142624,143046,143666
"Kingsport, TN",Msa,TN,127853,128024,128483,129245,129978,130623,130783,131117,131382,131963,132296,132663
"Roanoke, VA",Msa,VA,176339,177411,178568,179523,180551,181131,181787,182484,183271,184111,184343,184589
"Green Bay, WI",Msa,WI,176813,177679,178800,179600,180253,181141,181905,182690,182742,183078,183427,184444
"Lincoln, NE",Msa,NE,199318,200079,201262,202659,203700,204436,204476,204366,204267,204664,205458,205985
"Fort Collins, CO",Msa,CO,409241,411565,413166,413383,412718,411336,411673,411766,412970,412885,414131,415874
"Utica, NY",Msa,NY,131781,132332,133272,133492,133715,133820,134454,135039,135573,136160,136961,137916
"Columbus, GA",Msa,GA,122658,122995,123519,124151,124268,124515,124775,125264,125585,126114,126747,127342
"Boulder, CO",Msa,CO,567922,570084,572606,575035,576682,577123,576694,576770,576844,575706,575725,577788
"Lubbock, TX",Msa,TX,157605,158089,158373,158895,158954,159101,159569,160105,160708,,152703,149015
"Erie, PA",Msa,PA,128902,129161,129389,129839,130183,130526,130738,130973,131212,131587,131983,132383
"Fort Smith, AR",Msa,AR,108981,109340,109564,109818,110126,110435,110648,110923,111377,111928,112535,113042
"Duluth, MN",Msa,MN,161252,161932,163146,164239,165649,166519,167378,168213,169023,169646,170431,171277
"Atlantic City, NJ",Msa,NJ,195494,197562,199441,200609,201599,201985,202563,202896,203632,203728,203381,203548
"New London, CT",Msa,CT,245962,246827,248169,249488,249801,250181,250853,250780,250997,250690,250502,250453
"San Luis Obispo, CA",Msa,CA,626401,625273,626937,629094,634121,633331,629035,628435,631053,635017,634894,634503
"Gainesville, FL",Msa,FL,192590,193651,193759,194703,195322,196122,196715,197704,199121,200028,200390,201106
"Santa Cruz, CA",Msa,CA,880784,885072,882867,886989,882768,882338,878573,872886,871064,871832,871822,870510
"Clarksville, TN",Msa,TN,169805,170438,170787,171126,171513,171883,172362,172720,173387,174013,174948,175681
"Cedar Rapids, IA",Msa,IA,158051,158803,159539,160228,160218,160347,160433,160742,160921,161062,161547,162021
"Merced, CA",Msa,CA,275807,275493,275284,276816,278384,279654,279510,279659,279335,279483,279149,279284
"Wilmington, NC",Msa,NC,251405,251794,252089,253249,254127,255660,256745,258195,259384,260421,261496,263174
"Kennewick, WA",Msa,WA,283304,287685,291784,295574,299830,302631,304654,306455,307710,308619,308556,310257
"Greeley, CO",Msa,CO,377204,379034,379938,380237,379342,379679,379942,381323,382469,383337,384208,384364
"Waco, TX",Msa,TX,158871,159854,160507,160778,161504,161961,162600,162852,164104,164569,164890,165238
"Olympia, WA",Msa,WA,323745,324900,326118,326384,328459,330330,332274,332864,333779,335560,338888,342372
"Amarillo, TX",Msa,TX,143495,143883,144065,144067,144195,144338,144751,145147,145774,146102,146402,146644
"Binghamton, NY",Msa,NY,119978,119519,119853,120469,120618,120452,120188,119810,119712,119663,119865,120038
"Hagerstown, WV",Msa,MD,196323,197098,197940,198367,198467,199197,199790,200066,199672,199145,199086,199717
"Bremerton, WA",Msa,WA,370982,375943,379300,381048,380786,380889,381781,380954,382578,384834,389506,391925
"Laredo, TX",Msa,TX,151437,151686,152168,152361,152669,,,,,169510,167564,164926
"Lynchburg, VA",Msa,VA,178844,179357,180210,181131,181946,182786,183404,183824,183998,184063,184023,184418
"Yakima, WA",Msa,WA,216842,217769,218680,219663,221639,223799,226079,228990,231042,232425,234589,237340
"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,268340,269104,269483,272035,273571,274918,275597,276335,277539,279040,281022,282903
"Topeka, KS",Msa,KS,126746,127535,128518,129283,129926,129610,129538,129886,131103,132024,132377,132867
"Macon-Bibb County, GA",Msa,GA,104960,105552,106249,106681,107141,107717,108376,109087,109558,110207,110247,110386
"Champaign-Urbana, IL",Msa,IL,143125,144390,145270,145431,144996,144967,145089,144914,144836,144593,144971,145391
"Tuscaloosa, AL",Msa,AL,161257,162323,163256,163666,164292,164427,165187,165874,166770,167414,168013,168425
"College Station, TX",Msa,TX,217368,217726,218089,218447,219055,219472,219814,220196,220941,,,
"Sioux Falls, SD",Msa,SD,221421,222053,222444,222883,223516,224135,224657,225023,225441,226034,226517,227366
"Charleston, WV",Msa,WV,100704,101035,100970,100709,100519,100424,100269,100073,99851,99870,99639,99512
"Appleton, WI",Msa,WI,184462,184738,185517,186658,187517,188184,188656,189619,190318,191269,192313,193783
"Chico, CA",Msa,CA,307018,316026,322136,326332,329349,332779,335930,337947,339303,340773,342832,343046
"Charlottesville, VA",Msa,VA,305150,306112,307010,308256,309408,310945,312200,313430,314741,315979,315955,315683
"Claremont, NH",Msa,NH,216069,216535,216984,217818,218884,220005,221119,222264,223331,224146,224638,225134
"Barnstable Town, MA",Msa,MA,437973,436360,436295,437540,441799,444056,443475,441579,440080,438474,437447,436831
"Longview, TX",Msa,TX,160990,162060,164024,165993,166875,166540,166189,165534,164645,163433,163463,164087
"Burlington, VT",Msa,VT,303007,304196,305637,306615,307340,308070,309223,310860,312227,312869,313198,313676
"Prescott, AZ",Msa,AZ,305679,306688,307297,308242,309503,311313,312760,313606,314087,314119,314304,314689
"Springfield, IL",Msa,IL,135754,135930,136002,136059,136233,136175,136189,136092,136415,136663,136902,136858
"Tyler, TX",Msa,TX,175650,175981,177025,178460,181325,182548,184562,185446,187624,,181983,179364
"Las Cruces, NM",Msa,NM,191352,191841,191332,190424,190609,191140,191880,191808,191613,188277,184591,180486
"Fargo, ND",Msa,ND,229787,230663,230782,230283,229494,229435,229879,230410,230877,231425,231938,232550
"Houma, LA",Msa,LA,156632,157181,157483,157850,158358,159042,159297,159422,159577,,,
"Rochester, MN",Msa,MN,230474,231315,232002,232735,233347,234093,235221,236608,238102,239533,240189,240773
"Florence, SC",Msa,SC,121619,121982,122209,122519,122759,122969,123067,123123,123393,123907,124263,124604
"Medford, OR",Msa,OR,318112,319605,319737,318721,317705,317377,317005,316494,315646,316136,317307,320160
"Lafayette-West Lafayette, IN",Msa,IN,160716,161137,161623,162767,164010,165234,165616,166440,167368,168529,169593,170687
"Bellingham, WA",Msa,WA,401075,404711,408587,410269,411079,411907,413056,414238,416294,417836,420345,423770
"Lake Havasu City, AZ",Msa,AZ,222350,224200,225434,226021,226593,227714,229648,231045,232004,232937,233525,235086
"Saginaw, MI",Msa,MI,94164,95015,95731,96442,96902,97765,98249,98958,99441,100352,101090,101016
"Lake Charles, LA",Msa,LA,195861,194995,193853,193965,195113,196637,197332,197734,197624,197495,197160,196853
"Johnson City, TN",Msa,TN,148242,148578,148978,149572,150133,150562,150846,151262,151598,151940,152227,152827
"Elkhart, IN",Msa,IN,160796,161789,162446,162867,162698,163013,163107,164274,165192,166386,167113,166993
"Yuma, AZ",Msa,AZ,157759,158233,159487,161125,161573,161761,161601,161940,162111,162218,163155,165466
